city;lat;lng
Adelaide;-34.9289;138.6011
Albany;-35.0228;117.8814
Albury;-36.0806;146.9158
AliceSprings;-23.7002104;133.8806114
Ballarat;-37.5500;143.8500
Bendigo;-36.7500;144.2667
Brisbane;-27.4678;153.0281
Cairns;-16.9303;145.7703
Canberra;-35.2931;149.1269
Cobar;-31.4997;145.8319
Darwin;-12.462827;130.841782
Hobart;-42.8806;147.3250
Launceston;-41.4419;147.1450
Melbourne;-37.8136;144.9631
MelbourneAirport;-37.669816;144.841027
Mildura;-34.1889;142.1583
Moree;-29.4650;149.8344
Newcastle;-32.9167;151.7500
Nhil;-36.332472;141.6494937
Nuriootpa;-34.4667;138.9833
Penrith;-33.7511;150.6942
Perth;-31.9522;115.8589
PerthAirport;-31.9360;115.9640
Portland;-38.3333;141.6000
Richmond;-42.73586350;147.43704880
Sale;-38.1000;147.0667
Sydney;-33.8650;151.2094
SydneyAirport;-33.935941;151.165945
Townsville;-19.2564;146.8183
Wollongong;-34.4331;150.8831
BadgerysCreek;-33.8797222222;150.7522222222
CoffsHarbour;-30.298612;153.109392
Dartmoor;-37.914389;141.273000
GoldCoast;-28.00029;153.43088
Katherine;-14.46496690;132.26425610
MountGambier;-37.824429;140.783783
MountGinini;-35.533;148.783
NorahHead; -33.2833;151.5667
NorfolkIsland;-29.040835;167.954712
PearceRAAF;-31.667778;116.015000
SalmonGums;-32.9820745; 121.6441696
SydneyAirport;-33.9375729;151.16723360000003
Tuggeranong;-35.4244;149.0888
Uluru;-25.344490;131.035431
WaggaWagga;-35.108169;147.359832
Walpole;-34.955089;116.769632
Watsonia;-37.711699;145.082002
Williamtown;-32.815;151.842778
Witchcliffe;-34.008185;115.115542
Woomera;-31.165639;136.819261
